Va,Vb,Vc,Ia,Ib,Ic,Distance,Resistance,Label
14471.2778310032,14471.3889502078,14471.4151896375,6.0226910337156,6.02888793397847,6.03538441022969,95,5.0,0
14471.2778310032,14471.3889502078,14471.4151896375,6.0226910337156,6.02888793397847,6.03538441022969,95,10.0,0
14471.2778310032,14471.3889502078,14471.4151896375,6.0226910337156,6.02888793397847,6.03538441022969,95,20.0,0
14471.2778310032,14471.3889502078,14471.4151896375,6.0226910337156,6.02888793397847,6.03538441022969,95,50.0,0
14471.2778310032,14471.3889502078,14471.4151896375,6.0226910337156,6.02888793397847,6.03538441022969,95,80.0,0
14471.2778310032,14471.3889502078,14471.4151896375,6.0226910337156,6.02888793397847,6.03538441022969,95,100.0,0
14471.2785598998,14471.38859364,14471.4160009097,6.02281290100111,6.0288819509408,6.03540491447302,5,0.001,2
14471.2785598998,14471.38859364,14471.4160009097,6.02281290100111,6.0288819509408,6.03540491447302,5,1.0,2
14471.2785598998,14471.38859364,14471.4160009097,6.02281290100111,6.0288819509408,6.03540491447302,5,5.0,2
14471.2785598998,14471.38859364,14471.4160009097,6.02281290100111,6.0288819509408,6.03540491447302,5,10.0,2
14471.2785598998,14471.38859364,14471.4160009097,6.02281290100111,6.0288819509408,6.03540491447302,5,20.0,2
14471.2785598998,14471.38859364,14471.4160009097,6.02281290100111,6.0288819509408,6.03540491447302,5,50.0,2
14471.2785598998,14471.38859364,14471.4160009097,6.02281290100111,6.0288819509408,6.03540491447302,5,80.0,2
14471.2785598998,14471.38859364,14471.4160009097,6.02281290100111,6.0288819509408,6.03540491447302,5,100.0,2
14471.2800151513,14471.3901483518,14471.4175482493,6.02308870215053,6.02917446326202,6.03569989837453,10,0.001,2
14471.2800151513,14471.3901483518,14471.4175482493,6.02308870215053,6.02917446326202,6.03569989837453,10,1.0,2
14471.2800151513,14471.3901483518,14471.4175482493,6.02308870215053,6.02917446326202,6.03569989837453,10,5.0,2
14471.2800151513,14471.3901483518,14471.4175482493,6.02308870215053,6.02917446326202,6.03569989837453,10,10.0,2
14471.2800151513,14471.3901483518,14471.4175482493,6.02308870215053,6.02917446326202,6.03569989837453,10,20.0,2
14471.2800151513,14471.3901483518,14471.4175482493,6.02308870215053,6.02917446326202,6.03569989837453,10,50.0,2
14471.2800151513,14471.3901483518,14471.4175482493,6.02308870215053,6.02917446326202,6.03569989837453,10,80.0,2
14471.2800151513,14471.3901483518,14471.4175482493,6.02308870215053,6.02917446326202,6.03569989837453,10,100.0,2
14471.2812916446,14471.3915320234,14471.4189159245,6.02333226383962,6.02943317773801,6.03596113547675,15,0.001,2
14471.2812916446,14471.3915320234,14471.4189159245,6.02333226383962,6.02943317773801,6.03596113547675,15,1.0,2
14471.2812916446,14471.3915320234,14471.4189159245,6.02333226383962,6.02943317773801,6.03596113547675,15,5.0,2
14471.2812916446,14471.3915320234,14471.4189159245,6.02333226383962,6.02943317773801,6.03596113547675,15,10.0,2
14471.2812916446,14471.3915320234,14471.4189159245,6.02333226383962,6.02943317773801,6.03596113547675,15,20.0,2
14471.2812916446,14471.3915320234,14471.4189159245,6.02333226383962,6.02943317773801,6.03596113547675,15,50.0,2
